timestamp,Ticker,Open,High,Low,Close,Volume
10/1/2024 4:00,NVDA,121.765,122.4351,115.79,117,302094485
10/2/2024 4:00,NVDA,116.44,119.38,115.14,118.85,221845887
10/3/2024 4:00,NVDA,120.92,124.36,120.3401,122.85,277117973
10/4/2024 4:00,NVDA,124.94,125.04,121.83,124.92,244465552
10/7/2024 4:00,NVDA,124.99,130.64,124.95,127.72,346250233
10/8/2024 4:00,NVDA,130.26,133.48,129.42,132.89,285722485
10/9/2024 4:00,NVDA,134.11,134.52,131.38,132.65,246191612
10/10/2024 4:00,NVDA,131.91,135,131,134.81,242311337
10/11/2024 4:00,NVDA,134.01,135.78,133.66,134.8,170209474
10/14/2024 4:00,NVDA,136.47,139.6,136.3,138.07,232347668
10/15/2024 4:00,NVDA,137.87,138.57,128.74,131.6,377831021
10/16/2024 4:00,NVDA,133.98,136.62,131.58,135.72,264879720
10/17/2024 4:00,NVDA,139.34,140.89,136.87,136.93,306435921
10/18/2024 4:00,NVDA,138.665,138.9,137.28,138,176090184
10/21/2024 4:00,NVDA,138.13,143.71,138,143.71,264554514
10/22/2024 4:00,NVDA,142.91,144.42,141.78,143.59,226311589
10/23/2024 4:00,NVDA,142.03,142.43,137.46,139.56,285930038
10/24/2024 4:00,NVDA,140.82,141.35,138.46,140.41,172354888
10/25/2024 4:00,NVDA,140.93,144.13,140.8,141.54,205122109
10/28/2024 4:00,NVDA,143,143.14,140.05,140.52,173586745
10/29/2024 4:00,NVDA,140.285,142.2598,138.9,141.25,157593634
10/30/2024 4:00,NVDA,139.54,140.33,136.81,139.335,179418082
10/31/2024 4:00,NVDA,137.6,137.61,132.1106,132.76,270039641
11/1/2024 4:00,NVDA,134.7,137.31,134.57,135.4,207127838
11/4/2024 5:00,NVDA,137.21,138.96,135.57,136.05,187528173
11/5/2024 5:00,NVDA,137.45,140.3701,137.33,139.91,160537373
11/6/2024 5:00,NVDA,142.96,146.49,141.96,145.61,242043945
11/7/2024 5:00,NVDA,146.39,148.93,146.17,148.88,207323303
11/8/2024 5:00,NVDA,148.77,149.77,146.26,147.63,175665830
11/11/2024 5:00,NVDA,148.68,148.85,143.57,145.26,182325620
11/12/2024 5:00,NVDA,146.78,149.65,146.01,148.29,198634738
11/13/2024 5:00,NVDA,149.07,149.33,145.9,146.27,191903267
11/14/2024 5:00,NVDA,147.64,149,145.55,146.76,194463301
11/15/2024 5:00,NVDA,144.87,145.24,140.08,141.98,250132869
11/18/2024 5:00,NVDA,139.5,141.55,137.15,140.15,221865993
11/19/2024 5:00,NVDA,141.32,147.13,140.99,147.01,227834912
11/20/2024 5:00,NVDA,147.41,147.56,142.73,145.89,309871654
11/21/2024 5:00,NVDA,149.35,152.89,140.7,146.67,400946570
11/22/2024 5:00,NVDA,145.93,147.16,141.1,141.95,236406154
11/25/2024 5:00,NVDA,141.99,142.05,135.82,136.02,344941875
11/26/2024 5:00,NVDA,137.7,139.3,135.67,136.92,190287654
11/27/2024 5:00,NVDA,135.01,137.22,131.8,135.34,226370912
11/29/2024 5:00,NVDA,136.78,139.35,136.05,138.25,141863156
12/2/2024 5:00,NVDA,138.83,140.45,137.825,138.63,171682777
12/3/2024 5:00,NVDA,138.26,140.54,137.95,140.26,164413965
12/4/2024 5:00,NVDA,141.995,145.79,140.29,145.14,231224295
12/5/2024 5:00,NVDA,145.11,146.54,143.95,145.06,172621180
12/6/2024 5:00,NVDA,144.6,145.7,141.31,142.44,188505573
12/9/2024 5:00,NVDA,138.97,139.95,137.13,138.81,189308625
12/10/2024 5:00,NVDA,139.01,141.82,133.79,135.07,210020888
12/11/2024 5:00,NVDA,137.36,140.17,135.21,139.31,184905192
12/12/2024 5:00,NVDA,137.08,138.44,135.8,137.34,159211393
12/13/2024 5:00,NVDA,138.94,139.6,132.54,134.25,231514881
12/16/2024 5:00,NVDA,134.18,134.4,130.42,132,237951130
12/17/2024 5:00,NVDA,129.09,131.59,126.86,130.39,259410263
12/18/2024 5:00,NVDA,133.86,136.7,128.28,128.91,277444533
12/19/2024 5:00,NVDA,131.76,134.03,129.55,130.68,209719210
12/20/2024 5:00,NVDA,129.81,135.28,128.22,134.7,306528553
12/23/2024 5:00,NVDA,136.28,139.79,135.1201,139.67,176053506
12/24/2024 5:00,NVDA,140,141.9,138.65,140.22,105156989
12/26/2024 5:00,NVDA,139.7,140.85,137.73,139.93,116519090
12/27/2024 5:00,NVDA,138.55,139.02,134.71,137.01,170582603
12/30/2024 5:00,NVDA,134.83,140.27,134.02,137.49,167734700
12/31/2024 5:00,NVDA,138.03,138.07,133.83,134.29,155659211
